x, y, theta, adjx, adjy
0.753970, 254.453310, -4.650368, -21.381326, -253.554519
0.931071, 254.506471, -4.674439, -21.668695, -253.584065
0.108142, 254.606029, -4.631088, -20.664615, -253.766064
-0.695036, 254.626912, -5.567705, -24.012633, -253.493079
-1.292681, 254.637515, -5.683379, -23.930703, -253.513819
-1.319794, 254.511645, -5.605958, -23.548841, -253.423304
-1.286056, 254.464272, -5.683483, -23.920602, -253.340728
-0.286931, 254.459679, -4.013491, -17.523752, -253.855724
-1.269474, 254.386890, -5.091759, -21.312637, -253.495706
-3.100734, 254.480074, -6.707327, -26.643187, -253.100501
-2.022249, 254.489959, -6.276610, -25.812885, -253.185552
-4.066297, 254.711262, -7.511146, -29.264211, -253.057242
0.754245, 254.777569, -4.876188, -22.408332, -253.791342
-1.324349, 254.699432, -6.008706, -25.344755, -253.438746
2.693852, 255.031600, -3.254081, -17.166097, -254.467482
8.048438, 255.935755, -0.943865, -12.263327, -255.768448
1.784966, 254.975421, -3.534390, -17.500200, -254.380412
-5.594069, 255.245922, -7.212927, -26.498132, -253.928383
-10.895533, 256.498101, -8.452293, -26.924402, -255.313660
-9.096924, 256.104074, -8.811794, -30.242842, -254.474795
-1.564130, 255.016660, -5.861877, -24.489069, -253.842922
2.250167, 255.106955, -3.522587, -17.920203, -254.486715
5.261943, 255.639300, -1.443917, -11.701982, -255.425534
5.776663, 255.764775, -0.943289, -9.986472, -255.635014
4.963178, 255.605258, -1.812785, -13.046456, -255.320330
-2.994380, 255.529868, -6.587198, -26.338545, -254.186469
-11.705433, 257.037680, -7.101665, -20.162017, -256.512922
-18.383437, 258.340798, -2.619149, 6.558869, -258.910988
-16.254788, 258.505716, -6.373030, -12.540089, -258.712523
-9.770738, 257.070482, -10.896127, -38.999205, -254.282839
-4.844399, 255.964137, -8.952329, -35.045868, -253.599872
-1.697716, 255.654715, -6.245359, -26.124102, -254.322132
1.261797, 255.680325, -3.711533, -17.810149, -255.062383
0.828600, 255.739963, -3.999067, -18.661945, -255.059497
2.724962, 255.912242, -2.954479, -15.911708, -255.431632
0.660647, 255.747299, -4.615033, -21.236047, -254.864960
-4.707509, 256.087349, -7.784471, -30.022146, -254.365017
-9.390968, 256.955311, -8.438405, -28.417884, -255.551650
-10.966718, 257.404952, -8.828944, -28.671038, -256.038180
-7.132382, 256.560104, -8.559857, -31.134127, -254.763860
-2.516019, 255.892501, -6.574040, -26.796902, -254.497993
0.914915, 255.884113, -4.192178, -19.618118, -255.132604
3.206009, 256.046476, -2.598272, -14.810032, -255.637907
4.727904, 256.299502, -0.953343, -8.991614, -256.185360
5.722270, 256.494764, -0.505235, -7.983791, -256.434334
7.361516, 256.807415, 0.161643, -6.636981, -256.827162
8.422066, 257.069032, 0.819200, -4.745824, -257.163170
10.078473, 257.590341, 1.531665, -3.189633, -257.767697
10.758517, 257.749667, 1.549111, -3.786634, -257.946308
7.812233, 256.895502, 0.447411, -5.805969, -256.948673
0.763206, 255.715611, -5.092747, -23.459611, -254.638376
-0.086028, 255.669193, -5.650556, -25.087839, -254.435343
-0.280272, 255.622761, -5.562545, -24.499147, -254.446195
0.168234, 255.640803, -5.481764, -24.588556, -254.455598
-0.829206, 255.675301, -5.794413, -24.987826, -254.452659
-0.987690, 255.686603, -6.051012, -25.970729, -254.366145
-0.613945, 255.568606, -5.560309, -24.151865, -254.425582
-1.563140, 255.778855, -6.156140, -25.875163, -254.471495
-1.611377, 255.812754, -6.268360, -26.329275, -254.459292
-1.639394, 255.804141, -6.114956, -25.619115, -254.523294
-2.250863, 255.746545, -6.834950, -28.201439, -254.196854
-0.825392, 255.601107, -5.644243, -24.317330, -254.443067
-1.087211, 255.543209, -5.678410, -24.202794, -254.396813
-0.017592, 255.512514, -4.863043, -21.643352, -254.594207
1.437582, 255.557885, -4.057877, -19.518309, -254.815492
3.672665, 255.791446, -2.329672, -14.067356, -255.430737
1.030121, 255.462377, -4.596522, -21.499157, -254.558193
-1.536111, 255.417143, -6.460025, -27.210617, -253.968224
-2.013261, 255.431202, -6.655187, -27.603228, -253.943328
-1.877673, 255.423595, -6.703344, -27.950429, -253.896657
-1.896091, 255.397415, -6.901779, -28.808161, -253.774554
-1.544615, 255.315829, -6.616472, -27.883861, -253.793319
-1.070125, 255.220509, -6.132230, -26.199518, -253.874454
-1.058447, 255.151525, -6.403101, -27.403346, -253.677902
-0.733196, 255.082917, -5.908410, -25.528561, -253.803319
-0.646966, 255.138847, -6.119097, -26.553369, -253.754150
-0.887374, 255.130820, -6.120821, -26.321110, -253.771003
-0.973443, 255.078985, -6.211136, -26.629925, -253.686979
-0.673168, 255.046298, -6.012281, -26.044501, -253.713916
-0.435250, 255.044960, -5.552924, -24.246261, -253.890212
-0.449472, 255.074741, -5.814238, -25.392809, -253.808059
3.023494, 255.374293, -3.390263, -18.120203, -254.748561
9.187768, 256.793382, 0.292329, -7.877466, -256.836916
10.821489, 257.119278, -0.112650, -11.326995, -257.097504
6.067817, 255.869347, -1.902042, -14.556984, -255.526976
0.213129, 255.313512, -5.759334, -25.832802, -254.003348
